Team Name,2021 Attendance,2022 Attendance,2023 Attendance,,,
Arizona Cardinals,"10,90,961","11,41,794","9,20,514",,,
Atlanta Falcons,"11,73,982","11,67,681","9,75,371",,,
Baltimore Ravens,"11,41,157","11,85,526","9,57,371",,,
Buffalo Bills,"10,93,983","11,07,077","10,46,136",,,
Carolina Panthers,"12,02,133","12,01,413","9,56,808",,,
Chicago Bears,"10,79,841","11,31,267","9,11,573",,,
Cincinnati Bengals,"10,56,115","11,09,393","10,05,266",,,
Cleveland Browns,"10,92,573","11,18,849","9,63,883",,,
Dallas Cowboys,"13,66,866","14,09,563","11,54,960",,,
Denver Broncos,"12,43,881","12,51,020","10,13,067",,,
Detroit Lions,"10,27,002","11,57,336","9,46,353",,,
Green Bay Packers,"11,87,232","12,13,888","10,26,337",,,
Houston Texans,"11,14,558","11,63,275","9,76,663",,,
Indianapolis Colts,"10,81,420","11,63,736","9,13,045",,,
Jacksonville Jaguars,"10,70,491","11,30,728","9,57,377",,,
Kansas City Chiefs,"11,92,945","12,02,995","9,90,528",,,
Las Vegas Raiders,"10,68,732","11,25,946","9,10,594",,,
Los Angeles Chargers,"11,53,356","11,75,977","10,46,437",,,
Los Angeles Rams,"11,87,786","12,18,216","10,87,908",,,
Miami Dolphins,"11,10,828","11,52,651","9,32,685",,,
Minnesota Vikings,"11,18,294","11,30,867","9,59,939",,,
New England Patriots,"11,50,306","11,51,883","9,53,543",,,
New Orleans Saints,"11,17,104","11,68,868","10,53,036",,,
New York Giants,"12,07,885","12,43,963","10,41,216",,,
New York Jets,"11,73,183","12,51,761","10,85,937",,,
Philadelphia Eagles,"11,77,614","11,80,465","10,08,248",,,
Pittsburgh Steelers,"11,03,916","11,51,279","10,07,387",,,
San Francisco 49ers,"11,09,442","12,09,231","9,78,455",,,
Seattle Seahawks,"11,41,021","11,74,177","10,01,117",,,
Tampa Bay Buccaneers,"10,67,169","11,96,168","9,42,763",,,
Tennessee Titans,"11,37,282","11,66,846","9,21,928",,,
Washington Football Team,"10,81,126","10,84,489","9,80,211",,,
