Player_ID,Name,Team Abb,Games Played,Rushing Attempts,Rushing Yards,Takedowns,Fumbles,Season
Player_1054,Jonathan Taylor,IND,17,332,1811,18,4,2021
Player_1842,Najee Harris,PIT,17,307,1200,7,0,2021
Player_0484,Joe Mixon,CIN,16,292,1205,13,2,2021
Player_2369,Antonio Gibson,WAS,16,258,1037,7,6,2021
Player_1296,Dalvin Cook,MIN,13,249,1159,6,3,2021
Player_1457,Alvin Kamara,NOR,13,240,898,4,0,2021
Player_0618,Ezekiel Elliott,DAL,17,237,1002,10,1,2021
Player_0526,Nick Chubb,CLE,14,228,1259,8,2,2021
Player_0413,David Montgomery,CHI,13,225,849,7,1,2021
Player_2288,Derrick Henry,TEN,8,219,937,10,1,2021
Player_1694,Josh Jacobs,LVR,15,217,872,9,2,2021
Player_2156,Sony Michel,LAR,17,208,845,4,1,2021
Player_2005,Elijah Mitchell,SFO,11,207,963,5,0,2021
Player_1906,Austin Ekeler,LAC,16,206,911,12,4,2021
Player_0696,Melvin Gordon,DEN,16,203,918,8,3,2021
Player_0743,Javonte Williams,DEN,17,203,903,4,2,2021
Player_0011,James Conner,ARI,15,202,752,15,2,2021
Player_1378,Damien Harris,NWE,15,202,929,15,2,2021
Player_0274,Devin Singletary,BUF,17,188,870,7,5,2021
Player_0851,AJ Dillon,GNB,17,187,803,5,2,2021
Player_2204,Leonard Fournette,TAM,14,180,812,8,1,2021
Player_1227,Myles Gaskin,MIA,17,173,612,3,2,2021
Player_0322,Chuba Hubbard,CAR,17,172,612,5,1,2021
Player_0864,Aaron Jones,GNB,15,171,799,4,2,2021
Player_1121,James Robinson,JAX,14,164,767,8,4,2021
Player_1503,Saquon Barkley,NYG,13,162,593,2,2,2021
Player_0936,Mark Ingram,2TM,14,160,554,2,1,2021
Player_0125,Cordarrelle Patterson,ATL,16,153,618,6,2,2021
Player_0824,Jamaal Williams,DET,13,153,601,3,1,2021
Player_0820,D'Andre Swift,DET,13,151,617,5,2,2021
Player_2136,Darrell Henderson,LAR,12,149,688,5,0,2021
Player_1587,Michael Carter,NYJ,14,147,639,4,1,2021
Player_1506,Devontae Booker,NYG,16,145,593,2,0,2021
Player_1205,Darrel Williams,KAN,17,144,558,6,0,2021
Player_1769,Jalen Hurts,PHI,15,139,784,10,9,2021
Player_0087,Mike Davis,ATL,17,138,503,3,4,2021
Player_1792,Miles Sanders,PHI,12,137,754,0,1,2021
Player_1321,Alexander Mattison,MIN,16,134,491,3,1,2021
Player_2283,D'Onta Foreman,TEN,9,133,566,3,2,2021
Player_0168,Devonta Freeman,BAL,16,133,576,5,0,2021
Player_0174,Lamar Jackson,BAL,12,133,767,2,6,2021
Player_1405,Rhamondre Stevenson,NWE,12,133,606,5,2,2021
Player_0651,Tony Pollard,DAL,15,130,719,2,2,2021
Player_0223,Josh Allen,BUF,17,122,763,6,8,2021
Player_0911,Rex Burkhead,HOU,16,122,427,3,1,2021
Player_1155,Clyde Edwards-Helaire,KAN,10,119,517,4,2,2021
Player_0188,Latavius Murray,BAL,14,119,501,6,0,2021
Player_2090,Rashaad Penny,SEA,10,119,749,6,0,2021
Player_0016,Chase Edmonds,ARI,12,116,592,2,1,2021
Player_2050,Alex Collins,SEA,11,108,411,2,1,2021
Player_0390,Khalil Herbert,CHI,17,103,433,2,1,2021
Player_2216,Ronald Jones II,TAM,16,101,428,4,2,2021
Player_0561,D'Ernest Johnson,CLE,17,100,534,3,1,2021
Player_0333,Christian McCaffrey,CAR,7,99,442,1,1,2021
Player_0266,Zack Moss,BUF,13,96,345,4,2,2021
Player_0945,Phillip Lindsay,2TM,14,88,249,1,0,2021
Player_0050,Kyler Murray,ARI,14,88,423,5,13,2021
Player_1793,Boston Scott,PHI,16,87,373,7,1,2021
Player_1767,Jordan Howard,PHI,7,86,406,3,0,2021
Player_1591,Tevin Coleman,NYJ,11,84,356,0,0,2021
Player_4587,Derrick Henry,TEN,16,349,1538,13,6,2022
Player_4037,Josh Jacobs,LVR,17,340,1653,12,3,2022
Player_2946,Nick Chubb,CLE,17,302,1525,12,1,2022
Player_3858,Saquon Barkley,NYG,16,295,1312,10,1,2022
Player_4152,Najee Harris,PIT,17,272,1034,7,3,2022
Player_3656,Dalvin Cook,MIN,17,264,1173,8,4,2022
Player_3230,Jamaal Williams,DET,17,262,1066,17,3,2022
