Team Name,Season,Spending,Avg Ticket Price,Attendance,Total Ticket Earning,NFL Payout,Total Profit/Loss 
Arizona Cardinals,2021,191127625,$186 ,"10,90,961",202918746,200000000,"$211,791,121 "
Atlanta Falcons,2021,185499791,$60 ,"11,73,982",70438920,200000000,"$84,939,129 "
Baltimore Ravens,2021,182781957,$118 ,"11,41,157",134656526,200000000,"$151,874,569 "
Buffalo Bills,2021,187735198,$65 ,"10,93,983",71108895,200000000,"$83,373,697 "
Carolina Panthers,2021,181771931,$98 ,"12,02,133",117809034,200000000,"$136,037,103 "
Chicago Bears,2021,188749384,$134 ,"10,79,841",144698694,200000000,"$155,949,310 "
Cincinnati Bengals,2021,191286587,$157 ,"10,56,115",165810055,200000000,"$174,523,468 "
Cleveland Browns,2021,202441273,$124 ,"10,92,573",135479052,200000000,"$133,037,779 "
Dallas Cowboys,2021,205327031,$107 ,"13,66,866",146254662,200000000,"$140,927,631 "
Denver Broncos,2021,188343846,$104 ,"12,43,881",129363624,200000000,"$141,019,778 "
Detroit Lions,2021,196592545,$54 ,"10,27,002",55458108,200000000,"$58,865,563 "
Green Bay Packers,2021,181317830,$180 ,"11,87,232",213701760,200000000,"$232,383,930 "
Houston Texans,2021,186825534,$22 ,"11,14,558",24520276,200000000,"$37,694,742 "
Indianapolis Colts,2021,187317746,$220 ,"10,81,420",237912400,200000000,"$250,594,654 "
Jacksonville Jaguars,2021,180473269,$36 ,"10,70,491",38537676,200000000,"$58,064,407 "
Kansas City Chiefs,2021,185112146,$196 ,"11,92,945",233817220,200000000,"$248,705,074 "
Las Vegas Raiders,2021,189930974,$454 ,"10,68,732",485204328,200000000,"$495,273,354 "
Los Angeles Chargers,2021,183047309,$150 ,"11,53,356",173003400,200000000,"$189,956,091 "
Los Angeles Rams,2021,184237455,$170 ,"11,87,786",201923620,200000000,"$217,686,165 "
Miami Dolphins,2021,195163942,$536 ,"11,10,828",595403808,200000000,"$600,239,866 "
Minnesota Vikings,2021,188620675,$82 ,"11,18,294",91700108,200000000,"$103,079,433 "
New England Patriots,2021,200573159,$276 ,"11,50,306",317484456,200000000,"$316,911,297 "
New Orleans Saints,2021,185212258,$69 ,"11,17,104",77080176,200000000,"$91,867,918 "
New York Giants,2021,182521051,$83 ,"12,07,885",100254455,200000000,"$117,733,404 "
New York Jets,2021,205736640,$41 ,"11,73,183",48100503,200000000,"$42,363,863 "
Philadelphia Eagles,2021,189181452,$110 ,"11,77,614",129537540,200000000,"$140,356,088 "
Pittsburgh Steelers,2021,175907130,$239 ,"11,03,916",263835924,200000000,"$287,928,794 "
San Francisco 49ers,2021,195101014,$173 ,"11,09,442",191933466,200000000,"$196,832,452 "
Seattle Seahawks,2021,172703125,$79 ,"11,41,021",90140659,200000000,"$117,437,534 "
Tampa Bay Buccaneers,2021,181119199,$195 ,"10,67,169",208097955,200000000,"$226,978,756 "
Tennessee Titans,2021,184416734,$143 ,"11,37,282",162631326,200000000,"$178,214,592 "
Washington Football Team/Commanders,2021,193566718,$70 ,"10,81,126",75678820,200000000,"$82,112,102 "
Arizona Cardinals,2022,204825664,$268 ,"11,41,794",306000792,249000000,"$350,175,128 "
Atlanta Falcons,2022,201717487,$138 ,"11,67,681",161139978,249000000,"$208,422,491 "
Baltimore Ravens,2022,204617520,$189 ,"11,85,526",224064414,249000000,"$268,446,894 "
Buffalo Bills,2022,206691460,$224 ,"11,07,077",247985248,249000000,"$290,293,788 "
Carolina Panthers,2022,202249051,$206 ,"12,01,413",247491078,249000000,"$294,242,027 "
Chicago Bears,2022,204696905,$234 ,"11,31,267",264716478,249000000,"$309,019,573 "
Cincinnati Bengals,2022,210200068,$309 ,"11,09,393",342802437,249000000,"$381,602,369 "
Cleveland Browns,2022,186513983,$153 ,"11,18,849",171183897,249000000,"$233,669,914 "
Dallas Cowboys,2022,215338768,$403 ,"14,09,563",568053889,249000000,"$601,715,121 "
Denver Broncos,2022,210892216,$179 ,"12,51,020",223932580,249000000,"$262,040,364 "
Detroit Lions,2022,214423875,$145 ,"11,57,336",167813720,249000000,"$202,389,845 "
Green Bay Packers,2022,211847657,$232 ,"12,13,888",281622016,249000000,"$318,774,359 "
Houston Texans,2022,212666643,$159 ,"11,63,275",184960725,249000000,"$221,294,082 "
Indianapolis Colts,2022,205811217,$200 ,"11,63,736",232747200,249000000,"$275,935,983 "
Jacksonville Jaguars,2022,231233180,$126 ,"11,30,728",142471728,249000000,"$160,238,548 "
Kansas City Chiefs,2022,205249141,$371 ,"12,02,995",446311145,249000000,"$490,062,004 "
Las Vegas Raiders,2022,199666719,$240 ,"11,25,946",270227040,249000000,"$319,560,321 "
Los Angeles Chargers,2022,212129671,$191 ,"11,75,977",224611607,249000000,"$261,481,936 "
Los Angeles Rams,2022,200270156,$417 ,"12,18,216",507996072,249000000,"$556,725,916 "
Miami Dolphins,2022,208559442,$221 ,"11,52,651",254735871,249000000,"$295,176,429 "
Minnesota Vikings,2022,208790359,$178 ,"11,30,867",201294326,249000000,"$241,503,967 "
New England Patriots,2022,208004554,$243 ,"11,51,883",279907569,249000000,"$320,903,015 "
New Orleans Saints,2022,206828041,$241 ,"11,68,868",281697188,249000000,"$323,869,147 "
New York Giants,2022,203667109,$189 ,"12,43,963",235109007,249000000,"$280,441,898 "
New York Jets,2022,202470545,$199 ,"12,51,761",249100439,249000000,"$295,629,894 "
Philadelphia Eagles,2022,219359743,$187 ,"11,80,465",220746955,249000000,"$250,387,212 "
Pittsburgh Steelers,2022,210658592,$273 ,"11,51,279",314299167,249000000,"$352,640,575 "
San Francisco 49ers,2022,206082457,$724 ,"12,09,231",875483244,249000000,"$918,400,787 "
Seattle Seahawks,2022,215796566,$161 ,"11,74,177",189042497,249000000,"$222,245,931 "
Tampa Bay Buccaneers,2022,202960773,$144 ,"11,96,168",172248192,249000000,"$218,287,419 "
Tennessee Titans,2022,209793874,$218 ,"11,66,846",254372428,249000000,"$293,578,554 "
Washington Football Team/Commanders,2022,207402414,$98 ,"10,84,489",106279922,249000000,"$147,877,508 "
Arizona Cardinals,2023,218054475,$220 ,"9,20,514",202513080,264000000,"$248,458,605 "
Atlanta Falcons,2023,222785800,$196 ,"9,75,371",191172716,264000000,"$232,386,916 "
Baltimore Ravens,2023,217454195,$273 ,"9,57,371",261362283,264000000,"$307,908,088 "
Buffalo Bills,2023,224916563,$419 ,"10,46,136",438330984,264000000,"$477,414,421 "
Carolina Panthers,2023,233200608,$292 ,"9,56,808",279387936,264000000,"$310,187,328 "
Chicago Bears,2023,227406500,$364 ,"9,11,573",331812572,264000000,"$368,406,072 "
Cincinnati Bengals,2023,215259882,$294 ,"10,05,266",295548204,264000000,"$344,288,322 "
Cleveland Browns,2023,219603689,$228 ,"9,63,883",219765324,264000000,"$264,161,635 "
Dallas Cowboys,2023,222251224,$497 ,"11,54,960",574015120,264000000,"$615,763,896 "
Denver Broncos,2023,233579349,$314 ,"10,13,067",318103038,264000000,"$348,523,689 "
Detroit Lions,2023,223840272,$302 ,"9,46,353",285798606,264000000,"$325,958,334 "
Green Bay Packers,2023,221951494,$384 ,"10,26,337",394113408,264000000,"$436,161,914 "
Houston Texans,2023,226179056,$216 ,"9,76,663",210959208,264000000,"$248,780,152 "
Indianapolis Colts,2023,224246266,$253 ,"9,13,045",231000385,264000000,"$270,754,119 "
Jacksonville Jaguars,2023,219583210,$242 ,"9,57,377",231685234,264000000,"$276,102,024 "
Kansas City Chiefs,2023,217160347,$577 ,"9,90,528",571534656,264000000,"$618,374,309 "
Las Vegas Raiders,2023,224535023,$570 ,"9,10,594",519038.58,264000000,"$39,984,016 "
Los Angeles Chargers,2023,222805235,$343 ,"10,46,437",358927891,264000000,"$400,122,656 "
Los Angeles Rams,2023,216907461,$320 ,"10,87,908",348130560,264000000,"$395,223,099 "
Miami Dolphins,2023,223244497,$442 ,"9,32,685",412246770,264000000,"$453,002,273 "
Minnesota Vikings,2023,214822521,$329 ,"9,59,939",315819931,264000000,"$364,997,410 "
New England Patriots,2023,220696728,$551 ,"9,53,543",525402193,264000000,"$568,705,465 "
New Orleans Saints,2023,221469883,$237 ,"10,53,036",249569532,264000000,"$292,099,649 "
New York Giants,2023,222999063,$358 ,"10,41,216",372755328,264000000,"$413,756,265 "
New York Jets,2023,222141967,$410 ,"10,85,937",445234170,264000000,"$487,092,203 "
Philadelphia Eagles,2023,233332153,$523 ,"10,08,248",527313704,264000000,"$557,981,551 "
Pittsburgh Steelers,2023,226492317,$392 ,"10,07,387",394895704,264000000,"$432,403,387 "
San Francisco 49ers,2023,198652309,$410 ,"9,78,455",401166550,264000000,"$466,514,241 "
Seattle Seahawks,2023,214475758,$354 ,"10,01,117",354395418,264000000,"$403,919,660 "
Tampa Bay Buccaneers,2023,223935758,$234 ,"9,42,763",220606542,264000000,"$260,670,784 "
Tennessee Titans,2023,221559190,$247 ,"9,21,928",227716216,264000000,"$270,157,026 "
Washington Football Team/Commanders,2023,216147179,$280 ,"9,80,211",274459080,264000000,"$322,311,901 "
