Player,Tm,G,Rec,Ctch%,Yds,TD,Fmb,Season
Cooper Kupp,LAR,17,145,75.90%,1947,16,0,2021
Davante Adams,GNB,16,123,72.80%,1553,11,0,2021
Tyreek Hill,KAN,17,111,69.80%,1239,9,2,2021
Justin Jefferson,MIN,17,108,64.70%,1616,10,1,2021
Mark Andrews,BAL,17,107,69.90%,1361,9,1,2021
Diontae Johnson,PIT,16,107,63.30%,1161,8,2,2021
Keenan Allen,LAC,16,106,67.50%,1138,6,1,2021
Jaylen Waddle,MIA,16,104,74.30%,1015,6,2,2021
Stefon Diggs,BUF,17,103,62.80%,1225,10,1,2021
Hunter Renfrow,LVR,17,103,80.50%,1038,9,5,2021
Chris Godwin,TAM,14,98,77.20%,1103,5,2,2021
D.J. Moore,CAR,17,93,57.10%,1157,4,1,2021
Travis Kelce,KAN,16,92,68.70%,1125,9,1,2021
Marquise Brown,BAL,16,91,62.30%,1008,6,3,2021
Brandin Cooks,HOU,16,90,67.20%,1037,6,0,2021
Amon-Ra St. Brown,DET,17,90,75.60%,912,5,0,2021
Michael Pittman Jr.,IND,17,88,68.20%,1082,6,1,2021
Jakobi Meyers,NWE,17,83,65.90%,866,2,1,2021
Cole Beasley,BUF,16,82,73.20%,693,1,1,2021
Ja'Marr Chase,CIN,17,81,63.30%,1455,13,2,2021
Darnell Mooney,CHI,17,81,57.90%,1055,4,0,2021
CeeDee Lamb,DAL,16,79,65.80%,1102,6,0,2021
Dalton Schultz,DAL,17,78,75.00%,808,8,0,2021
Christian Kirk,ARI,17,77,74.80%,982,5,0,2021
Terry McLaurin,WAS,17,77,59.20%,1053,5,0,2021
Deebo Samuel,SFO,16,77,63.60%,1405,6,4,2021
Mike Williams,LAC,16,76,58.90%,1146,9,0,2021
D.K. Metcalf,SEA,17,75,58.10%,967,12,1,2021
Zach Ertz,2TM,17,74,66.10%,763,5,0,2021
Mike Evans,TAM,16,74,64.90%,1035,14,0,2021
Najee Harris,PIT,17,74,78.70%,467,3,0,2021
Tee Higgins,CIN,14,74,67.30%,1091,6,1,2021
Mike Gesicki,MIA,17,73,65.20%,780,2,0,2021
Marvin Jones,JAX,17,73,60.80%,832,4,0,2021
Tyler Lockett,SEA,16,73,68.20%,1175,8,0,2021
George Kittle,SFO,14,71,75.50%,910,6,2,2021
Austin Ekeler,LAC,16,70,74.50%,647,8,4,2021
Leonard Fournette,TAM,14,69,82.10%,454,2,1,2021
Amari Cooper,DAL,15,68,65.40%,865,8,1,2021
Noah Fant,DEN,16,68,75.60%,670,4,0,2021
Kyle Pitts,ATL,17,68,61.80%,1026,1,0,2021
Tyler Boyd,CIN,16,67,71.30%,828,5,1,2021
Adam Thielen,MIN,13,67,70.50%,726,10,1,2021
Russell Gage,ATL,14,66,70.20%,770,4,2,2021
DeVonta Smith,PHI,17,64,61.50%,916,5,1,2021
A.J. Brown,TEN,13,63,60.00%,869,5,0,2021
Laviska Shenault Jr.,JAX,16,63,63.00%,619,0,1,2021
D'Andre Swift,DET,13,62,79.50%,452,2,2,2021
Tyler Conklin,MIN,17,61,70.10%,593,3,1,2021
Tyler Higbee,LAR,15,61,71.80%,560,5,1,2021
T.J. Hockenson,DET,12,61,72.60%,583,4,0,2021
Pat Freiermuth,PIT,16,60,75.90%,497,7,1,2021
Cole Kmet,CHI,17,60,64.50%,612,0,0,2021
Chase Claypool,PIT,15,59,56.20%,860,2,0,2021
Mecole Hardman,KAN,17,59,71.10%,693,2,3,2021
Courtland Sutton,DEN,17,58,59.20%,776,2,0,2021
Brandon Aiyuk,SFO,17,56,66.70%,826,5,2,2021
Dallas Goedert,PHI,15,56,73.70%,830,4,1,2021
Kendrick Bourne,NWE,17,55,78.60%,800,5,1,2021
Rob Gronkowski,TAM,12,55,61.80%,802,6,0,2021
Justin Jefferson,MIN,17,128,69.60%,1809,8,0,2022
Tyreek Hill,MIA,17,119,70.00%,1710,7,1,2022
Travis Kelce,KAN,17,110,72.40%,1338,12,1,2022
Stefon Diggs,BUF,16,108,70.10%,1429,11,1,2022
Austin Ekeler,LAC,17,107,84.30%,722,5,5,2022
CeeDee Lamb,DAL,17,107,68.60%,1359,9,0,2022
Amon-Ra St. Brown,DET,16,106,72.60%,1161,6,0,2022
Chris Godwin,TAM,15,104,73.20%,1023,3,2,2022
Davante Adams,LVR,17,100,55.60%,1516,14,1,2022
Michael Pittman Jr.,IND,16,99,70.20%,925,4,2,2022
DeVonta Smith,PHI,17,95,69.90%,1196,7,1,2022
D.K. Metcalf,SEA,17,90,63.80%,1048,6,2,2022
A.J. Brown,PHI,17,88,60.70%,1496,11,2,2022
Ja'Marr Chase,CIN,12,87,64.90%,1046,9,2,2022
T.J. Hockenson,2TM,17,86,66.70%,914,6,1,2022
Diontae Johnson,PIT,17,86,58.50%,882,0,1,2022
Christian McCaffrey,2TM,17,85,78.70%,741,5,1,2022
Christian Kirk,JAX,17,84,63.20%,1108,8,1,2022
Tyler Lockett,SEA,16,84,71.80%,1033,9,2,2022
Garrett Wilson,NYJ,17,83,56.50%,1103,4,2,2022
Zay Jones,JAX,16,82,67.80%,823,5,0,2022
Brandon Aiyuk,SFO,17,78,68.40%,1015,8,1,2022
Amari Cooper,CLE,17,78,59.10%,1160,9,0,2022
JuJu Smith-Schuster,KAN,16,78,77.20%,933,3,3,2022
Mike Evans,TAM,15,77,60.60%,1124,6,0,2022
Terry McLaurin,WAS,17,77,64.20%,1191,5,1,2022
Cooper Kupp,LAR,9,75,76.50%,812,6,2,2022
Jaylen Waddle,MIA,17,75,64.10%,1356,8,1,2022
Tee Higgins,CIN,16,74,67.90%,1029,7,0,2022
Mark Andrews,BAL,15,73,64.60%,847,5,1,2022
Evan Engram,JAX,17,73,74.50%,766,4,0,2022
Leonard Fournette,TAM,16,73,88.00%,523,3,0,2022
Tyler Higbee,LAR,17,72,66.70%,620,3,0,2022
Drake London,ATL,17,72,61.50%,866,4,3,2022
Chris Olave,NOR,15,72,60.50%,1042,4,2,2022
Josh Palmer,LAC,16,72,67.30%,769,3,1,2022
Adam Thielen,MIN,17,70,65.40%,716,6,0,2022
Rhamondre Stevenson,NWE,17,69,78.40%,421,1,4,2022
