Player,Tm,G,Att,Yds,TD,Fmb,Season
Jonathan Taylor,IND,17,332,1811,18,4,2021
Najee Harris,PIT,17,307,1200,7,0,2021
Joe Mixon,CIN,16,292,1205,13,2,2021
Antonio Gibson,WAS,16,258,1037,7,6,2021
Dalvin Cook,MIN,13,249,1159,6,3,2021
Alvin Kamara,NOR,13,240,898,4,0,2021
Ezekiel Elliott,DAL,17,237,1002,10,1,2021
Nick Chubb,CLE,14,228,1259,8,2,2021
David Montgomery,CHI,13,225,849,7,1,2021
Derrick Henry,TEN,8,219,937,10,1,2021
Josh Jacobs,LVR,15,217,872,9,2,2021
Sony Michel,LAR,17,208,845,4,1,2021
Elijah Mitchell,SFO,11,207,963,5,0,2021
Austin Ekeler,LAC,16,206,911,12,4,2021
Melvin Gordon,DEN,16,203,918,8,3,2021
Javonte Williams,DEN,17,203,903,4,2,2021
James Conner,ARI,15,202,752,15,2,2021
Damien Harris,NWE,15,202,929,15,2,2021
Devin Singletary,BUF,17,188,870,7,5,2021
AJ Dillon,GNB,17,187,803,5,2,2021
Leonard Fournette,TAM,14,180,812,8,1,2021
Myles Gaskin,MIA,17,173,612,3,2,2021
Chuba Hubbard,CAR,17,172,612,5,1,2021
Aaron Jones,GNB,15,171,799,4,2,2021
James Robinson,JAX,14,164,767,8,4,2021
Saquon Barkley,NYG,13,162,593,2,2,2021
Mark Ingram,2TM,14,160,554,2,1,2021
Cordarrelle Patterson,ATL,16,153,618,6,2,2021
Jamaal Williams,DET,13,153,601,3,1,2021
D'Andre Swift,DET,13,151,617,5,2,2021
Darrell Henderson,LAR,12,149,688,5,0,2021
Michael Carter,NYJ,14,147,639,4,1,2021
Devontae Booker,NYG,16,145,593,2,0,2021
Darrel Williams,KAN,17,144,558,6,0,2021
Jalen Hurts,PHI,15,139,784,10,9,2021
Mike Davis,ATL,17,138,503,3,4,2021
Miles Sanders,PHI,12,137,754,0,1,2021
Alexander Mattison,MIN,16,134,491,3,1,2021
D'Onta Foreman,TEN,9,133,566,3,2,2021
Devonta Freeman,BAL,16,133,576,5,0,2021
Lamar Jackson,BAL,12,133,767,2,6,2021
Rhamondre Stevenson,NWE,12,133,606,5,2,2021
Tony Pollard,DAL,15,130,719,2,2,2021
Josh Allen,BUF,17,122,763,6,8,2021
Rex Burkhead,HOU,16,122,427,3,1,2021
Clyde Edwards-Helaire,KAN,10,119,517,4,2,2021
Latavius Murray,BAL,14,119,501,6,0,2021
Rashaad Penny,SEA,10,119,749,6,0,2021
Chase Edmonds,ARI,12,116,592,2,1,2021
Alex Collins,SEA,11,108,411,2,1,2021
Khalil Herbert,CHI,17,103,433,2,1,2021
Ronald Jones II,TAM,16,101,428,4,2,2021
D'Ernest Johnson,CLE,17,100,534,3,1,2021
Christian McCaffrey,CAR,7,99,442,1,1,2021
Zack Moss,BUF,13,96,345,4,2,2021
Phillip Lindsay,2TM,14,88,249,1,0,2021
Kyler Murray,ARI,14,88,423,5,13,2021
Boston Scott,PHI,16,87,373,7,1,2021
Jordan Howard,PHI,7,86,406,3,0,2021
Tevin Coleman,NYJ,11,84,356,0,0,2021
Derrick Henry,TEN,16,349,1538,13,6,2022
Josh Jacobs,LVR,17,340,1653,12,3,2022
Nick Chubb,CLE,17,302,1525,12,1,2022
Saquon Barkley,NYG,16,295,1312,10,1,2022
Najee Harris,PIT,17,272,1034,7,3,2022
Dalvin Cook,MIN,17,264,1173,8,4,2022
Jamaal Williams,DET,17,262,1066,17,3,2022
Miles Sanders,PHI,17,259,1269,11,2,2022
Christian McCaffrey,2TM,17,244,1139,8,1,2022
Ezekiel Elliott,DAL,15,231,876,12,0,2022
Kenneth Walker III,SEA,15,228,1050,9,0,2022
Alvin Kamara,NOR,15,223,897,2,4,2022
Travis Etienne,JAX,17,220,1125,5,5,2022
Dameon Pierce,HOU,13,220,939,4,4,2022
Aaron Jones,GNB,17,213,1121,2,5,2022
Tyler Allgeier,ATL,16,210,1035,3,0,2022
Joe Mixon,CIN,14,210,814,7,0,2022
Rhamondre Stevenson,NWE,17,210,1040,5,4,2022
Brian Robinson Jr.,WAS,12,205,797,2,2,2022
Austin Ekeler,LAC,17,204,915,13,5,2022
